Index,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
0,39QJ7KkN3L8LLqQqsO85W1,0.896,0.678,0,-2.546,0,0.0815,0.0137,4.1e-05,0.11,0.604,130.024,205450
1,0Aqi7ArnBrGblW5T6p2jmD,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382
2,1smFN2CLqGROu0J0UyvDfL,0.483,0.468,8,-7.642,1,0.0341,0.785,0.0,0.152,0.319,135.864,247941
3,25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,287374
4,0gzu5mm36VJH2Zqu8sQPTf,0.955,0.538,1,-8.394,1,0.0734,0.132,0.00146,0.0704,0.837,116.977,170769
5,4xmkpE1Si5JL7NFxWrhV0S,0.468,0.854,11,-3.932,0,0.059,0.176,0.0,0.126,0.277,155.867,299822
6,079Ey5uxL04AKPQgVQwx5h,0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088
7,1GkHyypTFkUf0QQKwYoXH4,0.668,0.563,11,-6.433,1,0.0522,0.0493,0.0,0.119,0.305,103.116,169632
8,4OoYfejHABzYe2mG8p5s8b,0.716,0.736,1,-5.18,0,0.0363,0.336,1.4e-05,0.137,0.542,104.018,203953
9,57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747
10,7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,177000
11,4dASQiO1Eoo3RJvt74FtXB,0.502,0.786,9,-4.378,0,0.317,0.255,0.0,0.65,0.739,169.021,243491
12,73xXDeBMlC5cdvWoOLWVLo,0.885,0.543,2,-6.338,1,0.2,0.0311,0.0,0.154,0.43,99.026,195992
13,6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,243837
14,6n4U3TlzUGhdSFbUUhTvLP,0.907,0.633,2,-5.145,1,0.184,0.0876,2.6e-06,0.106,0.395,145.914,276147
15,0N3W5peJUQtI4eyR6GJT5O,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,234693
16,0iDKn8bwukM6463mQsLx17,0.681,0.314,8,-9.319,1,0.0583,0.2,9.82e-06,0.1,0.166,139.991,208120
17,3DXncPQOG4VBw3QHh3S817,0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924,288600
18,0iDKn8bwukM6463mQsLx17,0.681,0.314,8,-9.319,1,0.0583,0.2,9.82e-06,0.1,0.166,139.991,208120
19,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360
20,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360
21,0YywjDvFudcaHG74NuWISy,0.407,0.308,10,-9.001,0,0.0296,0.778,1.46e-05,0.092,0.153,73.254,256236
22,7mbGvJnVHPnT8WCR0Nmlgz,0.289,0.321,10,-8.569,0,0.0353,0.935,0.0,0.108,0.214,111.841,145714
23,3f3FDZajRpcLQGln7OZqdi,0.181,0.913,5,-3.318,1,0.152,0.0501,0.0,0.282,0.392,82.176,174893
24,1FXrYwvWwjmbw8cqFC1OWz,0.528,0.593,1,-3.68,1,0.0545,0.289,0.00054,0.0724,0.351,167.238,273583
25,1FXrYwvWwjmbw8cqFC1OWz,0.528,0.593,1,-3.68,1,0.0545,0.289,0.00054,0.0724,0.351,167.238,273583
26,1qDrWA6lyx8cLECdZE7TV7,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,244885
27,2agBDIr9MYDUducQPC1sFU,0.315,0.22,9,-21.343,1,0.0514,0.987,0.943,0.0802,0.116,145.195,188787
28,14rZjW3RioG7WesZhYESso,0.483,0.192,4,-15.378,0,0.0469,0.991,0.908,0.106,0.0542,100.848,140733
29,1xugsCboIm1yILqpLvH9aD,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,292333
30,2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886
