SongName,EndTime,ArtistName,msPlayed,SongID,Popularity
Saiyaan Ji,2021-02-02 02:08,Yo Yo Honey Singh,64760,39QJ7KkN3L8LLqQqsO85W1,62
Falling,2021-02-02 02:09,Trevor Daniel,23970,0Aqi7ArnBrGblW5T6p2jmD,84
Shayad,2021-02-02 02:09,Pritam,6210,1smFN2CLqGROu0J0UyvDfL,72
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",2021-02-02 02:14,Ved Sharma,287374,25MPTnqXQB1H6OkwSYUXWx,68
Genda Phool (feat. Payal Dev),2021-02-02 02:14,Badshah,27705,0gzu5mm36VJH2Zqu8sQPTf,67
"Humraah (From ""Malang - Unleash The Madness"")",2021-02-02 02:15,Sachet Tandon,74950,4xmkpE1Si5JL7NFxWrhV0S,69
Baila Conmigo (with Rauw Alejandro),2021-02-02 02:19,Selena Gomez,186087,079Ey5uxL04AKPQgVQwx5h,82
You (with Marshmello & Vance Joy),2021-02-02 02:19,benny blanco,23212,1GkHyypTFkUf0QQKwYoXH4,73
Higher (feat. iann dior),2021-02-02 02:22,Clean Bandit,203953,4OoYfejHABzYe2mG8p5s8b,71
Element,2021-05-30 17:54,Pop Smoke,131540,57BGVV6wcyhbn3hsjlqEZB,80
HUMBLE.,2021-05-30 17:57,Kendrick Lamar,177000,7KXjTSCq5nL1LoYtL7XAwS,84
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2021-05-30 18:01,Lil Wayne,243490,4dASQiO1Eoo3RJvt74FtXB,78
Dip (feat. Nicki Minaj) (feat. Nicki Minaj),2021-05-30 18:04,Tyga,195991,73xXDeBMlC5cdvWoOLWVLo,65
goosebumps,2021-05-30 18:10,Travis Scott,243836,6gBFPUFcJLzWGx4lenP6h2,87
Walk It Talk It,2021-05-30 18:13,Migos,810,6n4U3TlzUGhdSFbUUhTvLP,78
King Kunta,2021-05-30 18:13,Kendrick Lamar,2640,0N3W5peJUQtI4eyR6GJT5O,76
Swang,2021-05-30 18:13,Rae Sremmurd,1030,0iDKn8bwukM6463mQsLx17,0
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",2021-05-30 18:13,DJ Khaled,160766,3DXncPQOG4VBw3QHh3S817,74
Swang,2021-05-30 18:16,Rae Sremmurd,197680,0iDKn8bwukM6463mQsLx17,0
Another Love,2021-05-30 18:18,Tom Odell,85570,3JvKfv6T31zO0ini8iNItO,88
Another Love,2021-05-30 18:21,Tom Odell,159040,3JvKfv6T31zO0ini8iNItO,88
People Help the People,2021-05-30 18:23,Birdy,53240,0YywjDvFudcaHG74NuWISy,67
unravel (acoustic version) - Acoustic Version,2021-05-30 18:27,TK from Ling tosite sigure,228834,7mbGvJnVHPnT8WCR0Nmlgz,56
"Isabella's Lullaby (from ""The Promised Neverland"")",2021-05-30 18:29,AmaLee,145714,3f3FDZajRpcLQGln7OZqdi,66
asphyxia,2021-05-30 18:32,Cö Shu Nie,174893,1FXrYwvWwjmbw8cqFC1OWz,66
