Index,SongName,ArtistName,SongID,Popularity
0,Saiyaan Ji,Yo Yo Honey Singh,39QJ7KkN3L8LLqQqsO85W1,62
1,Falling,Trevor Daniel,0Aqi7ArnBrGblW5T6p2jmD,84
2,Shayad,Pritam,1smFN2CLqGROu0J0UyvDfL,72
3,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,25MPTnqXQB1H6OkwSYUXWx,68
4,Genda Phool (feat. Payal Dev),Badshah,0gzu5mm36VJH2Zqu8sQPTf,67
5,"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,4xmkpE1Si5JL7NFxWrhV0S,69
6,Baila Conmigo (with Rauw Alejandro),Selena Gomez,079Ey5uxL04AKPQgVQwx5h,82
7,You (with Marshmello & Vance Joy),benny blanco,1GkHyypTFkUf0QQKwYoXH4,73
8,Higher (feat. iann dior),Clean Bandit,4OoYfejHABzYe2mG8p5s8b,71
9,Element,Pop Smoke,57BGVV6wcyhbn3hsjlqEZB,80
10,HUMBLE.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,84
11,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,4dASQiO1Eoo3RJvt74FtXB,78
12,Dip (feat. Nicki Minaj) (feat. Nicki Minaj),Tyga,73xXDeBMlC5cdvWoOLWVLo,65
13,goosebumps,Travis Scott,6gBFPUFcJLzWGx4lenP6h2,87
14,Walk It Talk It,Migos,6n4U3TlzUGhdSFbUUhTvLP,78
15,King Kunta,Kendrick Lamar,0N3W5peJUQtI4eyR6GJT5O,76
16,Swang,Rae Sremmurd,0iDKn8bwukM6463mQsLx17,0
17,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,3DXncPQOG4VBw3QHh3S817,74
18,Swang,Rae Sremmurd,0iDKn8bwukM6463mQsLx17,0
19,Another Love,Tom Odell,3JvKfv6T31zO0ini8iNItO,88
20,Another Love,Tom Odell,3JvKfv6T31zO0ini8iNItO,88
21,People Help the People,Birdy,0YywjDvFudcaHG74NuWISy,67
23,"Isabella's Lullaby (from ""The Promised Neverland"")",AmaLee,7mbGvJnVHPnT8WCR0Nmlgz,56
24,asphyxia,Cö Shu Nie,3f3FDZajRpcLQGln7OZqdi,66
25,Kokoronashi,majiko,1FXrYwvWwjmbw8cqFC1OWz,66
26,Kokoronashi,majiko,1FXrYwvWwjmbw8cqFC1OWz,66
29,Somebody That I Used To Know,Gotye,1qDrWA6lyx8cLECdZE7TV7,81
30,River Flows In You,Yiruma,2agBDIr9MYDUducQPC1sFU,73
31,"Comptine d'un autre été, l'après-midi",Yann Tiersen,14rZjW3RioG7WesZhYESso,75
32,You Raise Me Up,Josh Groban,1xugsCboIm1yILqpLvH9aD,63
33,Hope,XXXTENTACION,2ZRo7axmMPeSVUvDbGkJah,87
34,Close To Me,Ellie Goulding,2GjMaJ7DacMIkgoe8oMXGg,62
35,Hope,The Chainsmokers,4BiiOzZCrXEzHRLYcYFiD5,69
36,Baarishein,Anuv Jain,5iCY0TXNImK4hyKfcplQsg,69
37,Why Did I Answer?,Porsche Love,28TpzUIZmbj2Va4E0FkcFa,49
38,Baari,Bilal Saeed,0HTb4JfMtMkMYUtyd19In3,69
39,Element,Pop Smoke,57BGVV6wcyhbn3hsjlqEZB,80
40,Big Gangsta,Kevin Gates,1Tkhv9DzXOk5a4iIuRw0KW,0
41,Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,4tYpkgBjxxin7SiUBW0Rtq,62
42,Beware,Big Sean,3Byz6Mk9WCNYeGthiDVti2,72
43,The Thrill,Wiz Khalifa,4wqzOaLxiCRy2Et8tRyNSX,81
44,Dior,Pop Smoke,1rek5HfnFLCDbike8u23ur,0
45,Baarishein,Anuv Jain,5iCY0TXNImK4hyKfcplQsg,69
46,good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,95
47,Kiss Me More (feat. SZA),Doja Cat,748mdHapucXQri7IAO8yFK,90
48,Butter,BTS,1mWdTewIgB3gtBM3TOSFhB,88
49,MONTERO (Call Me By Your Name),Lil Nas X,1SC5rEoYDGUK4NfG82494W,91
50,Arcade,Duncan Laurence,1Xi84slp6FryDSCbzq4UCD,84
51,WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,86
52,Leave The Door Open,Bruno Mars,7MAibcTli4IisCtbHKrGMh,87
53,Levitating (feat. DaBaby),Dua Lipa,5nujrmhLynf4yMoMtj8AQF,89
54,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,91
55,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,92
56,deja vu,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,90
57,Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,5zFglKYiknIxks8geR8rcL,85
58,Sygrayem (Let's Play),Carlos Rafael Rivera,3b34OS7148VGiURvWTYweJ,40
59,good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,95
60,Sygrayem (Let's Play),Carlos Rafael Rivera,3b34OS7148VGiURvWTYweJ,40
61,Our Song,Anne-Marie,3fGW43fnu3OHEw6ohTC2Bw,74
62,Leave Before You Love Me (with Jonas Brothers),Marshmello,4qu63nuBpdn0qHUHuObEj1,87
63,good 4 u,Olivia Rodrigo,4ZtFanR9U6ndgddUvNcjcG,95
64,Build a Bitch,Bella Poarch,7BoobGhD4x5K96Me0hqC8Q,82
65,Heartbreak Anthem (with David Guetta & Little Mix),Galantis,5K6Ssv4Z3zRvxt0P6EKUAP,85
66,Dior,Pop Smoke,1rek5HfnFLCDbike8u23ur,0
67,Baarishein,Anuv Jain,5iCY0TXNImK4hyKfcplQsg,69
68,unravel,TK from Ling tosite sigure,1rN9QoVxw5U7TJkyaUR8C1,75
69,Baarishein,Anuv Jain,5iCY0TXNImK4hyKfcplQsg,69
70,unravel,TK from Ling tosite sigure,1rN9QoVxw5U7TJkyaUR8C1,75
71,ブルーバード,Ikimonogakari,2XpV9sHBexcNrz0Gyf3l18,73
