Index,EndTime,SongName,ArtistName,msPlayed,Popularity,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
0,2021-02-02 02:08,Saiyaan Ji,Yo Yo Honey Singh,64760,62,39QJ7KkN3L8LLqQqsO85W1,0.896,0.678,0,-2.546,0,0.0815,0.0137,4.1e-05,0.11,0.604,130.024,205450
1,2021-02-02 02:09,Falling,Trevor Daniel,23970,84,0Aqi7ArnBrGblW5T6p2jmD,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,159382
2,2021-02-02 02:09,Shayad,Pritam,6210,72,1smFN2CLqGROu0J0UyvDfL,0.483,0.468,8,-7.642,1,0.0341,0.785,0.0,0.152,0.319,135.864,247941
3,2021-02-02 02:14,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,287374,68,25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,7,-6.503,0,0.0623,0.329,1.85e-05,0.329,0.311,156.396,287374
4,2021-02-02 02:14,Genda Phool (feat. Payal Dev),Badshah,27705,67,0gzu5mm36VJH2Zqu8sQPTf,0.955,0.538,1,-8.394,1,0.0734,0.132,0.00146,0.0704,0.837,116.977,170769
5,2021-02-02 02:15,"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,74950,69,4xmkpE1Si5JL7NFxWrhV0S,0.468,0.854,11,-3.932,0,0.059,0.176,0.0,0.126,0.277,155.867,299822
6,2021-02-02 02:19,Baila Conmigo (with Rauw Alejandro),Selena Gomez,186087,82,079Ey5uxL04AKPQgVQwx5h,0.823,0.544,5,-7.132,1,0.0715,0.0215,0.00315,0.0966,0.664,149.903,186088
7,2021-02-02 02:19,You (with Marshmello & Vance Joy),benny blanco,23212,73,1GkHyypTFkUf0QQKwYoXH4,0.668,0.563,11,-6.433,1,0.0522,0.0493,0.0,0.119,0.305,103.116,169632
8,2021-02-02 02:22,Higher (feat. iann dior),Clean Bandit,203953,71,4OoYfejHABzYe2mG8p5s8b,0.716,0.736,1,-5.18,0,0.0363,0.336,1.4e-05,0.137,0.542,104.018,203953
9,2021-05-30 17:54,Element,Pop Smoke,131540,80,57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747
